rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
375,200,75,0,200,10050000,0,0,100,75,313,8.12205,100,0
376,200,75,0,200,10050000,0,0,100,75,308,8.09878,100,0
377,200,75,0,200,10050000,0,0,100,75,318,8.15156,100,0
378,200,75,1,200,10050000,0,0,100,75,306,8.09234,100,0
379,200,85,0,200,10050000,0,0,100,85,274,7.81094,100,0
380,200,75,0,200,10050000,0,0,100,75,316,8.14499,100,0
381,200,77,18,200,10050000,0,0,100,77,263,7.76714,100,0
382,200,76,1,200,10050000,0,0,100,76,312,8.11699,100,0
383,200,89,7,200,10050000,0,0,100,89,272,7.88019,100,0
384,200,78,53,200,10050000,0,0,100,78,272,7.84536,100,0
385,200,48,0,200,10050000,0,0,100,48,317,8.14605,100,0
386,200,77,0,200,10050000,0,0,100,77,262,7.7495,100,0
387,200,76,0,200,10050000,0,0,100,76,309,8.12376,100,0
388,200,75,0,200,10050000,0,0,100,75,302,8.0623,100,0
389,200,77,7,200,10050000,0,0,100,77,259,7.72205,100,0
390,200,75,0,200,10050000,0,0,100,75,314,8.1227,100,0
391,200,75,7,200,10050000,0,0,100,75,297,7.85586,100,0
392,200,75,1,200,10050000,0,0,100,75,315,8.13719,100,0
393,200,75,0,200,10050000,0,0,100,75,309,8.10205,100,0
394,200,75,0,200,10050000,0,0,100,75,314,8.12507,100,0
395,200,75,45,200,10050000,0,0,100,75,270,7.7036,100,0
396,200,75,1,200,10050000,0,0,100,75,316,8.14062,100,0
397,200,75,0,200,10050000,0,0,100,75,300,7.9715,100,0
398,200,75,2,200,10050000,0,0,100,75,320,8.14741,100,0
399,200,75,2,200,10050000,0,0,100,75,314,8.12663,100,0
400,200,75,1,200,10050000,0,0,100,75,306,8.07377,100,0
401,200,75,0,200,10050000,0,0,100,75,316,8.13858,100,0
402,200,88,2,200,10050000,0,0,100,88,283,7.94725,100,0
403,200,75,0,200,10050000,0,0,100,75,305,8.0909,100,0
404,200,78,0,200,10050000,0,0,100,78,307,8.05689,100,0
405,200,75,0,200,10050000,0,0,100,75,309,8.09817,100,0
406,200,75,0,200,10050000,0,0,100,75,318,8.15825,100,0
407,200,91,2,200,10050000,0,0,100,91,255,7.80955,100,0
408,200,75,0,200,10050000,0,0,100,75,313,8.13249,100,0
409,200,76,102,200,10050000,0,0,100,76,267,7.83983,100,0
410,200,75,0,200,10050000,0,0,100,75,312,8.10482,100,0
411,200,75,0,200,10050000,0,0,100,75,315,8.12859,100,0
412,200,77,17,200,10050000,0,0,100,77,267,7.78233,100,0
413,200,75,2,200,10050000,0,0,100,75,300,8.03581,100,0
414,200,75,0,200,10050000,0,0,100,75,311,8.12776,100,0
415,200,75,0,200,10050000,0,0,100,75,310,8.11332,100,0
416,200,80,73,200,10050000,0,0,100,80,262,7.75201,100,0
417,200,93,1,200,10050000,0,0,100,93,291,7.92407,100,0
418,200,78,42,200,10050000,0,0,100,78,279,7.86281,100,0
419,200,78,1,200,10050000,0,0,100,78,307,8.09347,100,0
420,200,75,0,200,10050000,0,0,100,75,322,8.14736,100,0
421,200,77,6,200,10050000,0,0,100,77,256,7.70065,100,0
422,200,87,3,200,10050000,0,0,100,87,287,7.96174,100,0
423,200,76,0,200,10050000,0,0,100,76,317,8.13372,100,0
424,200,75,3,200,10050000,0,0,100,75,316,8.15845,100,0
425,200,85,1,200,10050000,0,0,100,85,269,7.84659,100,0
426,200,78,136,200,10050000,0,0,100,78,277,7.91252,100,0
427,200,75,0,200,10050000,0,0,100,75,315,8.13923,100,0
428,200,77,130,200,10050000,0,0,100,77,255,7.72565,100,0
429,200,75,0,200,10050000,0,0,100,75,301,8.05528,100,0
430,200,75,0,200,10050000,0,0,100,75,315,8.14001,100,0
431,200,75,4,200,10050000,0,0,100,75,307,8.10711,100,0
432,200,90,1,200,10050000,0,0,100,90,270,7.66214,100,0
433,200,82,122,200,10050000,0,0,100,82,263,7.76598,100,0
434,200,85,1,200,10050000,0,0,100,85,273,7.88386,100,0
435,200,75,2,200,10050000,0,0,100,75,311,8.10859,100,0
436,200,75,0,200,10050000,0,0,100,75,302,8.07176,100,0
437,200,75,0,200,10050000,0,0,100,75,316,8.15694,100,0
438,200,85,3,200,10050000,0,0,100,85,278,7.90999,100,0
439,200,82,29,200,10050000,0,0,100,82,245,7.66124,100,0
440,200,75,0,200,10050000,0,0,100,75,319,8.15772,100,0
441,200,75,0,200,10050000,0,0,100,75,322,8.15752,100,0
442,200,75,1,200,10050000,0,0,100,75,320,8.17196,100,0
443,200,75,3,200,10050000,0,0,100,75,322,8.16409,100,0
444,200,75,0,200,10050000,0,0,100,75,320,8.15005,100,0
445,200,75,0,200,10050000,0,0,100,75,308,8.08927,100,0
446,200,75,0,200,10050000,0,0,100,75,311,8.12879,100,0
447,200,85,0,200,10050000,0,0,100,85,307,8.09968,100,0
448,200,80,3,200,10050000,0,0,100,80,260,7.74479,100,0
449,200,78,119,200,10050000,0,0,100,78,255,7.65513,100,0
450,200,75,4,200,10050000,0,0,100,75,315,8.12303,100,0
451,200,91,133,200,10050000,0,0,100,91,236,6.91167,100,0
452,200,75,3,200,10050000,0,0,100,75,313,8.1256,100,0
453,200,75,0,200,10050000,0,0,100,75,302,8.06177,100,0
454,200,91,12,200,10050000,0,0,100,91,290,8.01621,100,0
455,200,75,1,200,10050000,0,0,100,75,320,8.15825,100,0
456,200,75,0,200,10050000,0,0,100,75,305,8.08303,100,0
457,200,75,1,200,10050000,0,0,100,75,314,8.1378,100,0
458,200,75,0,200,10050000,0,0,100,75,318,8.14152,100,0
459,200,78,8,200,10050000,0,0,100,78,277,7.90633,100,0
460,200,77,49,200,10050000,0,0,100,77,264,7.81053,100,0
461,200,75,0,200,10050000,0,0,100,75,318,8.13425,100,0
462,200,75,0,200,10050000,0,0,100,75,318,8.15299,100,0
463,200,78,5,200,10050000,0,0,100,78,249,7.71702,100,0
464,200,76,0,200,10050000,0,0,100,76,318,8.15662,100,0
465,200,75,0,200,10050000,0,0,100,75,300,8.06132,100,0
466,200,75,1,200,10050000,0,0,100,75,310,8.10001,100,0
467,200,75,1,200,10050000,0,0,100,75,302,8.0707,100,0
468,200,75,26,200,10050000,0,0,100,75,285,7.89812,100,0
