update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
0,50000,0,0,100,48,151,7.00892,100,0
1,100000,0,0,100,48,310,8.10001,100,0
2,150000,0,0,100,48,312,8.12887,100,0
3,200000,0,0,100,48,300,8.07501,100,0
4,250000,0,0,100,75,118,2.92617,100,0
5,300000,0,0,100,75,310,8.11397,100,0
6,350000,0,0,100,75,311,8.11417,100,0
7,400000,0,0,100,75,313,8.11417,100,0
8,450000,0,0,100,75,251,6.87678,100,0
9,500000,0,0,100,75,312,8.13372,100,0
10,550000,0,0,100,75,319,8.13581,100,0
11,600000,0,0,100,75,313,8.11609,100,0
12,650000,0,0,100,75,320,8.18041,100,0
13,700000,0,0,100,75,292,8.02336,100,0
14,750000,0,0,100,75,301,8.05548,100,0
15,800000,0,0,100,75,317,8.15347,100,0
16,850000,0,0,100,75,297,8.0436,100,0
17,900000,0,0,100,75,308,8.09508,100,0
18,950000,0,0,100,75,313,8.11161,100,0
19,1000000,0,0,100,75,306,8.08645,100,0
20,1050000,0,0,100,75,318,8.16062,100,0
21,1100000,0,0,100,75,296,8.02512,100,0
22,1150000,0,0,100,75,304,8.06119,100,0
23,1200000,0,0,100,75,318,8.15168,100,0
24,1250000,0,0,100,75,309,8.09707,100,0
25,1300000,0,0,100,75,306,8.04398,100,0
26,1350000,0,0,100,75,313,8.11154,100,0
27,1400000,0,0,100,75,307,8.08972,100,0
28,1450000,0,0,100,75,310,8.12796,100,0
29,1500000,0,0,100,75,292,7.99928,100,0
30,1550000,0,0,100,75,316,8.14409,100,0
31,1600000,0,0,100,75,317,8.14572,100,0
32,1650000,0,0,100,75,304,8.08119,100,0
33,1700000,0,0,100,75,303,8.10278,100,0
34,1750000,0,0,100,75,310,8.118,100,0
35,1800000,0,0,100,75,305,8.08992,100,0
36,1850000,0,0,100,75,322,8.15274,100,0
37,1900000,0,0,100,75,312,8.12298,100,0
38,1950000,0,0,100,75,315,8.12821,100,0
39,2000000,0,0,100,75,315,8.1256,100,0
40,2050000,0,0,100,75,301,8.06316,100,0
41,2100000,0,0,100,75,312,8.11609,100,0
42,2150000,0,0,100,75,304,8.08054,100,0
43,2200000,0,0,100,75,301,8.07246,100,0
44,2250000,0,0,100,75,308,8.10152,100,0
45,2300000,0,0,100,75,310,8.10977,100,0
46,2350000,0,0,100,75,307,8.0825,100,0
47,2400000,0,0,100,75,317,8.15176,100,0
48,2450000,0,0,100,75,292,8.00761,100,0
49,2500000,0,0,100,75,306,8.08932,100,0
50,2550000,0,0,100,75,306,8.09123,100,0
51,2600000,0,0,100,75,305,8.08217,100,0
52,2650000,0,0,100,75,308,8.07961,100,0
53,2700000,0,0,100,75,322,8.16094,100,0
54,2750000,0,0,100,75,303,8.06001,100,0
55,2800000,0,0,100,75,320,8.15817,100,0
56,2850000,0,0,100,75,308,8.10841,100,0
57,2900000,0,0,100,75,318,8.14841,100,0
58,2950000,0,0,100,75,295,8.01456,100,0
59,3000000,0,0,100,75,318,8.15176,100,0
60,3050000,0,0,100,75,316,8.14625,100,0
61,3100000,0,0,100,75,307,8.09911,100,0
62,3150000,0,0,100,75,317,8.14348,100,0
63,3200000,0,0,100,75,324,8.178,100,0
64,3250000,0,0,100,75,312,8.12127,100,0
65,3300000,0,0,100,75,313,8.11463,100,0
66,3350000,0,0,100,75,314,8.13984,100,0
67,3400000,0,0,100,75,316,8.14572,100,0
68,3450000,0,0,100,75,315,8.13078,100,0
69,3500000,0,0,100,75,304,8.07246,100,0
70,3550000,0,0,100,75,314,8.12487,100,0
71,3600000,0,0,100,75,305,8.06504,100,0
72,3650000,0,0,100,75,298,8.05299,100,0
73,3700000,0,0,100,75,301,8.08021,100,0
74,3750000,0,0,100,75,307,8.08205,100,0
75,3800000,0,0,100,75,300,8.06527,100,0
76,3850000,0,0,100,75,298,8.04066,100,0
77,3900000,0,0,100,75,321,8.15249,100,0
78,3950000,0,0,100,75,308,8.09672,100,0
79,4000000,0,0,100,75,308,8.09025,100,0
80,4050000,0,0,100,75,300,8.05797,100,0
81,4100000,0,0,100,75,314,8.1378,100,0
82,4150000,0,0,100,75,302,8.07654,100,0
83,4200000,0,0,100,75,319,8.14776,100,0
84,4250000,0,0,100,75,303,8.05837,100,0
85,4300000,0,0,100,75,227,6.24755,100,0
86,4350000,0,0,100,75,227,6.65278,100,0
87,4400000,0,0,100,75,304,8.08225,100,0
88,4450000,0,0,100,75,318,8.14874,100,0
89,4500000,0,0,100,78,118,3.55787,100,0
90,4550000,0,0,100,78,311,8.10434,100,0
91,4600000,0,0,100,78,289,7.98301,100,0
92,4650000,0,0,100,78,309,8.1069,100,0
93,4700000,0,0,100,78,306,8.08388,100,0
94,4750000,0,0,100,78,315,8.12034,100,0
95,4800000,0,0,100,78,303,8.07148,100,0
96,4850000,0,0,100,78,306,8.09246,100,0
97,4900000,0,0,100,78,307,8.09475,100,0
98,4950000,0,0,100,78,312,8.08496,100,0
99,5000000,0,0,100,78,299,8.04807,100,0
100,5050000,0,0,100,78,312,8.11226,100,0
101,5100000,0,0,100,78,310,8.10303,100,0
102,5150000,0,0,100,78,303,8.06353,100,0
103,5200000,0,0,100,78,314,8.09863,100,0
104,5250000,0,0,100,78,316,8.14449,100,0
105,5300000,0,0,100,78,311,8.0943,100,0
106,5350000,0,0,100,78,311,8.08597,100,0
107,5400000,0,0,100,78,308,8.09307,100,0
108,5450000,0,0,100,78,307,8.09,100,0
109,5500000,0,0,100,78,316,8.14552,100,0
110,5550000,0,0,100,78,312,8.11923,100,0
111,5600000,0,0,100,78,292,8.00807,100,0
112,5650000,0,0,100,78,311,8.12409,100,0
113,5700000,0,0,100,78,315,8.13805,100,0
114,5750000,0,0,100,78,309,8.09445,100,0
115,5800000,0,0,100,78,305,8.08401,100,0
116,5850000,0,0,100,78,304,8.05279,100,0
117,5900000,0,0,100,78,302,8.07254,100,0
118,5950000,0,0,100,78,308,8.08479,100,0
119,6000000,0,0,100,78,302,8.07948,100,0
120,6050000,0,0,100,78,318,8.15234,100,0
121,6100000,0,0,100,78,311,8.11981,100,0
122,6150000,0,0,100,78,315,8.15392,100,0
123,6200000,0,0,100,78,327,8.19229,100,0
124,6250000,0,0,100,78,297,8.0385,100,0
125,6300000,0,0,100,78,314,8.11994,100,0
126,6350000,0,0,100,78,306,8.10519,100,0
127,6400000,0,0,100,78,297,8.03601,100,0
128,6450000,0,0,100,78,310,8.11682,100,0
129,6500000,0,0,100,78,224,5.92446,100,0
130,6550000,0,0,100,79,245,6.43592,100,0
131,6600000,0,0,100,87,114,4.14412,100,0
132,6650000,0,0,100,87,269,7.76189,100,0
133,6700000,0,0,100,90,143,4.30632,100,0
134,6750000,0,0,100,90,235,7.04766,100,0
135,6800000,0,0,100,90,231,6.8291,100,0
136,6850000,0,0,100,90,291,8.02472,100,0
137,6900000,0,0,100,91,133,5.0168,100,0
138,6950000,0,0,100,91,269,7.45181,100,0
139,7000000,0,0,100,91,245,7.27597,100,0
140,7050000,0,0,100,91,259,7.39088,100,0
141,7100000,0,0,100,91,214,6.95156,100,0
142,7150000,0,0,100,92,187,5.90947,100,0
143,7200000,0,0,100,92,222,6.54415,100,0
144,7250000,0,0,100,92,272,7.84363,100,0
145,7300000,0,0,100,92,275,7.89725,100,0
146,7350000,0,0,100,92,288,7.98854,100,0
147,7400000,0,0,100,92,285,7.91981,100,0
148,7450000,0,0,100,95,159,4.68522,100,0
149,7500000,0,0,100,95,235,7.24486,100,0
150,7550000,0,0,100,95,234,6.77701,100,0
