update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
151,7600000,0,0,100,95,248,7.45784,100,0
152,7650000,0,0,100,97,108,3.34673,100,0
153,7700000,0,0,100,97,193,6.19963,100,0
154,7750000,0,0,100,97,274,7.89019,100,0
155,7800000,0,0,100,97,249,7.50196,100,0
156,7850000,0,0,100,97,236,7.18378,100,0
157,7900000,0,0,100,97,257,7.81232,100,0
158,7950000,0,0,100,97,273,7.9099,100,0
159,8000000,0,0,100,97,267,7.86678,100,0
160,8050000,0,0,100,97,264,7.8355,100,0
161,8100000,0,0,100,97,271,7.88188,100,0
162,8150000,0,0,100,97,275,7.93475,100,0
163,8200000,0,0,100,97,209,6.98557,100,0
164,8250000,0,0,100,99,42,3.91843,100,0
165,8300000,0,0,100,99,237,7.56475,100,0
166,8350000,0,0,100,99,274,7.91395,100,0
167,8400000,0,0,100,99,270,7.86885,100,0
168,8450000,0,0,100,99,245,7.41318,100,0
169,8500000,0,0,100,99,286,7.97587,100,0
170,8550000,0,0,100,99,189,5.02485,100,0
171,8600000,0,0,100,100,1,-0,100,0
172,8650000,0,1,100,100,283,7.95797,100,0
