update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
109,5500000,0,0,100,92,280,7.94497,100,0
110,5550000,0,0,100,92,269,7.87237,100,0
111,5600000,0,0,100,92,282,7.91162,100,0
112,5650000,0,0,100,92,176,5.3845,100,0
113,5700000,0,0,100,92,266,7.8413,100,0
114,5750000,0,0,100,93,195,5.91359,100,0
115,5800000,0,0,100,93,251,7.68438,100,0
116,5850000,0,0,100,98,118,3.59988,100,0
117,5900000,0,0,100,98,254,7.75017,100,0
118,5950000,0,0,100,98,209,5.54093,100,0
119,6000000,0,0,100,98,264,7.84472,100,0
120,6050000,0,1,100,100,1,-0,100,0
